Order ID,Date,Product Name,Category,Quantity,Unit Price (₦),Total Revenue (₦),Sales Channel,Payment Method
ORD001,02/07/2026,Citrus Fresh,Unisex,2,18000,36000,WhatsApp,Transfer
ORD002,26/03/2026,Midnight Musk,Men,2,12000,24000,WhatsApp,Transfer
ORD003,,Midnight Musk,Men,3,12000,36000,Instagram,POS
ORD004,13/01/2026,Citrus Fresh,Unisex,2,18000,36000,In-person,Transfer
ORD005,24/03/2026,Citrus Fresh,Unisex,1,18000,18000,Instagram,POS
ORD006,,Oud Royale,Unisex,1,8000,8000,Instagram,POS
ORD007,26/03/2026,Citrus Fresh,Unisex,5,18000,90000,Instagram,POS
ORD008,,Rose Elixir,Women,5,15000,75000,Instagram,Transfer
ORD009,18/01/2026,Vanilla Bliss,Women,3,10000,30000,Instagram,POS
ORD010,17/01/2026,Citrus Fresh,Unisex,2,18000,36000,Instagram,Transfer
ORD011,13/03/2026,Amber Gold,Men,2,20000,40000,Instagram,Cash
ORD012,26/03/2026,Amber Gold,Men,4,20000,80000,In-person,POS
ORD013,25/03/2026,Citrus Fresh,Unisex,1,18000,18000,WhatsApp,Cash
ORD014,19/02/2026,Rose Elixir,Women,4,15000,60000,Instagram,POS
ORD015,15/02/2026,Citrus Fresh,Unisex,1,18000,18000,In-person,Cash
ORD016,02/03/2026,Midnight Musk,Men,2,12000,24000,WhatsApp,Cash
ORD017,31/03/2026,Citrus Fresh,Unisex,3,18000,54000,WhatsApp,Transfer
ORD018,16/01/2026,Citrus Fresh,Unisex,2,18000,36000,Instagram,Cash
ORD019,03/06/2026,Vanilla Bliss,Women,3,10000,30000,In-person,Transfer
ORD020,02/06/2026,Vanilla Bliss,Women,1,10000,10000,WhatsApp,Cash
ORD021,25/03/2026,Rose Elixir,Women,4,15000,60000,Instagram,POS
ORD022,01/09/2026,Amber Gold,Men,5,20000,100000,In-person,Cash
ORD023,31/03/2026,Midnight Musk,Men,4,12000,48000,In-person,Cash
ORD024,17/02/2026,Oud Royale,Unisex,4,8000,32000,In-person,Transfer
ORD025,,Vanilla Bliss,Women,2,10000,20000,WhatsApp,Transfer
ORD026,03/03/2026,Rose Elixir,Women,2,15000,30000,In-person,Cash
ORD027,14/02/2026,Vanilla Bliss,Women,5,10000,50000,Instagram,Transfer
ORD028,22/02/2026,Oud Royale,Unisex,3,8000,24000,Instagram,Transfer
ORD029,21/03/2026,Vanilla Bliss,Women,5,10000,50000,In-person,Cash
ORD030,26/01/2026,Amber Gold,Men,4,20000,80000,In-person,POS
ORD031,02/08/2026,Rose Elixir,Women,3,15000,45000,WhatsApp,Transfer
ORD032,14/03/2026,Citrus Fresh,Unisex,4,18000,72000,In-person,Transfer
ORD033,21/01/2026,Oud Royale,Unisex,5,8000,40000,Instagram,Transfer
ORD034,04/01/2026,Amber Gold,Men,5,20000,100000,In-person,POS
ORD035,18/02/2026,Rose Elixir,Women,2,15000,30000,Instagram,Cash
ORD036,23/01/2026,Rose Elixir,Women,1,15000,15000,WhatsApp,Cash
ORD037,15/02/2026,Rose Elixir,Women,4,15000,60000,Instagram,Cash
ORD038,01/05/2026,Amber Gold,Men,2,20000,40000,Instagram,Transfer
ORD039,15/01/2026,Rose Elixir,Women,1,15000,15000,WhatsApp,POS
ORD040,02/03/2026,Amber Gold,Men,3,20000,60000,In-person,Cash
ORD041,18/02/2026,Amber Gold,Men,4,20000,80000,In-person,POS
ORD042,,Vanilla Bliss,Women,3,10000,30000,Instagram,Transfer
ORD043,31/03/2026,Citrus Fresh,Unisex,4,18000,72000,Instagram,POS
ORD044,01/05/2026,Midnight Musk,Men,1,12000,12000,WhatsApp,Cash
ORD045,20/02/2026,Oud Royale,Unisex,2,8000,16000,In-person,Transfer
ORD046,15/03/2026,Oud Royale,Unisex,3,8000,24000,In-person,Cash
ORD047,29/01/2026,Oud Royale,Unisex,5,8000,40000,In-person,Transfer
ORD048,02/03/2026,Midnight Musk,Men,3,12000,36000,Instagram,Transfer
ORD049,25/02/2026,Midnight Musk,Men,2,12000,24000,Instagram,Cash
